"國家_自然_公園面積","總計","生態保護區","特別景觀區","史蹟保存區","遊憩區","一般管制區"
"106年/ 國家(自然)公園總計 / 海陸別總計","750,071.95","258,665.54","351,091.84","432.80","2,001.49","137,880.28"
"106年/ 國家(自然)公園總計 / 陸域","311,498.15","200,457.69","38,476.26","432.80","1,561.75","70,569.65"
"106年/ 國家(自然)公園總計 / 海域","438,573.80","58,207.85","312,615.58","-","439.74","67,310.63"
"106年/ 墾丁 / 海陸別總計","33,289.59","6,725.19","1,862.56","15.15","760.24","23,926.45"
"106年/ 墾丁 / 陸域","18,083.50","6,248.81","1,657.28","15.15","346.11","9,816.15"
"106年/ 墾丁 / 海域","15,206.09","476.38","205.28","-","414.13","14,110.30"
"106年/ 玉山 / 海陸別總計","103,121.40","73,622.30","3,393.10","279.70","240.20","25,586.10"
"106年/ 玉山 / 陸域","103,121.40","73,622.30","3,393.10","279.70","240.20","25,586.10"
"106年/ 玉山 / 海域","-","-","-","-","-","-"
"106年/ 陽明山 / 海陸別總計","11,338.00","2,115.00","5,378.00","22.00","270.00","3,553.00"
"106年/ 陽明山 / 陸域","11,338.00","2,115.00","5,378.00","22.00","270.00","3,553.00"
"106年/ 陽明山 / 海域","-","-","-","-","-","-"
"106年/ 太魯閣 / 海陸別總計","92,000.00","66,240.00","22,630.00","40.00","300.00","2,790.00"
"106年/ 太魯閣 / 陸域","92,000.00","66,240.00","22,630.00","40.00","300.00","2,790.00"
"106年/ 太魯閣 / 海域","-","-","-","-","-","-"
"106年/ 雪霸 / 海陸別總計","76,850.00","51,595.58","1,855.00","41.19","82.23","23,276.00"
"106年/ 雪霸 / 陸域","76,850.00","51,595.58","1,855.00","41.19","82.23","23,276.00"
"106年/ 雪霸 / 海域","-","-","-","-","-","-"
"106年/ 金門 / 海陸別總計","3,528.74","-","1,525.91","0.34","266.86","1,735.63"
"106年/ 金門 / 陸域","3,528.74","-","1,525.91","0.34","266.86","1,735.63"
"106年/ 金門 / 海域","-","-","-","-","-","-"
"106年/ 東沙環礁 / 海陸別總計","353,667.95","57,660.53","295,943.23","1.57","-","62.62"
"106年/ 東沙環礁 / 陸域","178.57","-","132.96","1.57","-","44.04"
"106年/ 東沙環礁 / 海域","353,489.38","57,660.53","295,810.27","-","-","18.58"
"106年/ 澎湖南方四島 / 海陸別總計","35,843.62","70.94","16,917.54","-","25.61","18,829.53"
"106年/ 澎湖南方四島 / 陸域","370.29","-","317.51","-","-","52.78"
"106年/ 澎湖南方四島 / 海域","35,473.33","70.94","16,600.03","-","25.61","18,776.75"
"106年/ 台江 / 海陸別總計","39,310.00","636.00","1,341.50","20.00","38.00","37,274.50"
"106年/ 台江 / 陸域","4,905.00","636.00","1,341.50","20.00","38.00","2,869.50"
"106年/ 台江 / 海域","34,405.00","-","-","-","-","34,405.00"

